time,co2,voc
2025-08-19 11:42:42.952,504.80,100.44
2025-08-19 11:42:43.952,504.80,96.07
2025-08-19 11:42:44.953,504.80,96.07
2025-08-19 11:42:45.956,504.80,100.44
2025-08-19 11:42:46.957,504.80,100.44
2025-08-19 11:42:47.958,504.80,100.44
2025-08-19 11:42:48.959,504.80,100.44
2025-08-19 11:42:49.960,504.80,100.44
2025-08-19 11:42:50.962,504.80,100.44
2025-08-19 11:42:51.963,504.80,100.44
2025-08-19 11:42:52.964,504.80,100.44
2025-08-19 11:42:53.965,504.80,100.44
2025-08-19 11:42:54.967,504.80,100.44
2025-08-19 11:42:55.968,504.80,100.44
2025-08-19 11:42:56.970,504.80,100.44
2025-08-19 11:42:57.971,504.80,100.44
2025-08-19 11:42:58.973,504.80,100.44
2025-08-19 11:42:59.974,504.80,100.44
2025-08-19 11:43:00.975,504.80,100.44
2025-08-19 11:43:01.976,504.80,100.44
2025-08-19 11:43:02.977,504.80,100.44
2025-08-19 11:43:03.978,504.80,100.44
2025-08-19 11:43:04.979,504.80,100.44
2025-08-19 11:43:05.981,504.80,100.44
2025-08-19 11:43:06.982,504.80,100.44
2025-08-19 11:43:07.983,504.80,100.44
2025-08-19 11:43:08.984,504.80,100.44
2025-08-19 11:43:09.985,504.80,100.44
2025-08-19 11:43:10.986,504.80,100.44
2025-08-19 11:43:11.987,504.80,100.44
2025-08-19 11:43:12.988,504.80,100.44
2025-08-19 11:43:13.989,504.80,100.44
2025-08-19 11:43:14.991,504.80,100.44
2025-08-19 11:43:15.992,504.80,100.44
2025-08-19 11:43:16.994,504.80,100.44
2025-08-19 11:43:17.995,504.80,100.44
2025-08-19 11:43:18.997,504.80,100.44
2025-08-19 11:43:19.999,504.80,100.44
2025-08-19 11:43:21.000,504.80,100.44
2025-08-19 11:43:22.001,504.80,100.44
2025-08-19 11:43:23.002,504.80,100.44
2025-08-19 11:43:24.004,504.80,100.44
2025-08-19 11:43:25.005,504.80,100.44
2025-08-19 11:43:26.007,504.80,100.44
2025-08-19 11:43:27.008,504.80,100.44
2025-08-19 11:43:28.009,504.80,100.44
2025-08-19 11:43:29.010,504.80,100.44
2025-08-19 11:43:30.011,504.80,100.44
2025-08-19 11:43:31.012,504.80,100.44
2025-08-19 11:43:32.013,504.80,100.44
2025-08-19 11:43:33.014,504.80,100.44
2025-08-19 11:43:34.016,504.80,100.44
2025-08-19 11:43:35.017,504.80,100.44
2025-08-19 11:43:36.018,504.80,100.44
2025-08-19 11:43:37.019,504.80,100.44
2025-08-19 11:43:38.019,504.80,96.07
2025-08-19 11:43:39.020,504.80,96.07
2025-08-19 11:43:40.022,504.80,96.07
2025-08-19 11:43:41.023,504.80,96.07
2025-08-19 11:43:42.024,504.80,96.07
2025-08-19 11:43:43.025,504.80,96.07
2025-08-19 11:43:44.027,504.80,96.07
2025-08-19 11:43:45.028,504.80,96.07
2025-08-19 11:43:46.030,504.80,96.07
2025-08-19 11:43:47.031,504.80,96.07
2025-08-19 11:43:48.033,504.80,96.07
2025-08-19 11:43:49.035,504.80,100.44
2025-08-19 11:43:50.035,504.80,96.07
2025-08-19 11:43:51.036,504.80,96.07
2025-08-19 11:43:52.037,504.80,96.07
2025-08-19 11:43:53.039,504.80,96.07
2025-08-19 11:43:54.039,504.80,96.07
2025-08-19 11:43:55.040,504.80,96.07
2025-08-19 11:43:56.042,504.80,96.07
2025-08-19 11:43:57.043,504.80,96.07
2025-08-19 11:43:58.045,504.80,96.07
2025-08-19 11:43:59.046,504.80,96.07
2025-08-19 11:44:00.049,504.80,100.44
2025-08-19 11:44:01.049,504.80,96.07
2025-08-19 11:44:02.050,504.80,96.07
2025-08-19 11:44:03.051,504.80,96.07
2025-08-19 11:44:04.053,504.80,96.07
2025-08-19 11:44:05.054,504.80,96.07
2025-08-19 11:44:06.055,504.80,96.07
2025-08-19 11:44:07.056,504.80,96.07
2025-08-19 11:44:08.057,504.80,96.07
2025-08-19 11:44:09.059,504.80,96.07
2025-08-19 11:44:10.059,504.80,96.07
2025-08-19 11:44:11.060,504.80,96.07
2025-08-19 11:44:12.062,511.79,96.07
2025-08-19 11:44:13.063,511.79,96.07
2025-08-19 11:44:14.064,511.79,96.07
2025-08-19 11:44:15.065,511.79,96.07
2025-08-19 11:44:16.066,511.79,96.07
2025-08-19 11:44:17.069,511.79,100.44
2025-08-19 11:44:18.070,511.79,100.44
2025-08-19 11:44:19.070,511.79,96.07
2025-08-19 11:44:20.071,511.79,96.07
2025-08-19 11:44:21.072,511.79,96.07
2025-08-19 11:44:22.073,511.79,96.07
2025-08-19 11:44:23.074,511.79,96.07
2025-08-19 11:44:24.075,511.79,96.07
2025-08-19 11:44:25.076,511.79,96.07
2025-08-19 11:44:26.077,511.79,96.07
2025-08-19 11:44:27.078,511.79,96.07
2025-08-19 11:44:28.079,511.79,96.07
2025-08-19 11:44:29.080,511.79,96.07
2025-08-19 11:44:30.081,511.79,96.07
2025-08-19 11:44:31.082,511.79,96.07
2025-08-19 11:44:32.083,511.79,96.07
2025-08-19 11:44:33.084,511.79,96.07
2025-08-19 11:44:34.086,511.79,100.44
2025-08-19 11:44:35.087,511.79,100.44
2025-08-19 11:44:36.087,511.79,100.44
2025-08-19 11:44:37.087,511.79,96.07
2025-08-19 11:44:38.088,511.79,96.07
2025-08-19 11:44:39.089,511.79,96.07
2025-08-19 11:44:40.090,511.79,96.07
2025-08-19 11:44:41.091,511.79,96.07
2025-08-19 11:44:42.092,511.79,96.07
2025-08-19 11:44:43.093,511.79,100.44
2025-08-19 11:44:44.094,511.79,100.44
2025-08-19 11:44:45.094,511.79,96.07
2025-08-19 11:44:46.095,511.79,96.07
2025-08-19 11:44:47.096,511.79,96.07
2025-08-19 11:44:48.097,511.79,96.07
2025-08-19 11:44:49.098,511.79,96.07
2025-08-19 11:44:50.099,511.79,96.07
2025-08-19 11:44:51.100,511.79,96.07
2025-08-19 11:44:52.103,511.79,104.80
2025-08-19 11:44:53.104,511.79,104.80
2025-08-19 11:44:54.105,511.79,104.80
2025-08-19 11:44:55.106,511.79,100.44
2025-08-19 11:44:56.107,511.79,100.44
2025-08-19 11:44:57.106,511.79,96.07
2025-08-19 11:44:58.107,511.79,96.07
2025-08-19 11:44:59.109,511.79,100.44
2025-08-19 11:45:00.110,511.79,100.44
2025-08-19 11:45:01.111,511.79,100.44
2025-08-19 11:45:02.111,511.79,96.07
2025-08-19 11:45:03.111,511.79,96.07
2025-08-19 11:45:04.112,511.79,96.07
2025-08-19 11:45:05.113,511.79,96.07
2025-08-19 11:45:06.114,511.79,96.07
2025-08-19 11:45:07.115,511.79,96.07
2025-08-19 11:45:08.116,511.79,96.07
2025-08-19 11:45:09.117,511.79,96.07
2025-08-19 11:45:10.118,511.79,96.07
2025-08-19 11:45:11.118,511.79,96.07
2025-08-19 11:45:12.120,511.79,100.44
2025-08-19 11:45:13.120,511.79,96.07
2025-08-19 11:45:14.122,511.79,96.07
2025-08-19 11:45:15.123,511.79,96.07
2025-08-19 11:45:16.124,511.79,96.07
2025-08-19 11:45:17.125,511.79,96.07
2025-08-19 11:45:18.126,511.79,96.07
2025-08-19 11:45:19.127,511.79,96.07
2025-08-19 11:45:20.128,511.79,96.07
2025-08-19 11:45:21.129,511.79,96.07
2025-08-19 11:45:22.129,511.79,96.07
